"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date"
"AOS1025","Rocklin","Placer County","CA","Rocklin Police Department","Police","The Rocklin Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/rocklin_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1026","Rohnerg Park","Sonoma County","CA","Rohnert Park Department of Public Safety","Police","The Rohnert Park Department of Public Safety operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/rohnert_park_department_of_public_safety.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1027","Roseville","Placer County","CA","Roseville Police Department","Police","The Roseville Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/roseville_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1028","Sacramento","Sacramento County","CA","Sacramento County Sheriff's Office","Sheriff","The Sacramento County Sheriff's Office operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","County","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/sacramento_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1030","Salinas","Monterey County","CA","Salinas Police Department","Police","The Salinas Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/salinas_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1032","San Bernardino","San Bernardino County","CA","San Bernardino Police Department","Police","The San Bernardino Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/san_bernardino_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1033","San Bruno","San Mateo County","CA","San Bruno Police Department","Police","The San Bruno Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions and Neology/PIPS.","Municipal","Automated License Plate Readers","Vigilant Solutions, Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/san_bruno_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1036","San Fernando","Los Angeles County","CA","San Fernando Police Department","Police","The San Fernando Police Department operates automated license plate readers. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/san_fernando_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1037","San Francisco","San Francisco County","CA","San Francisco Police Department","Police","The San Francisco Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/san_francisco_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1038","San Gabriel","Los Angeles County","CA","San Gabriel Police Department","Police","The San Gabriel Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/san_gabriel_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1039","French Camp","San Joaquin County","CA","San Joaquin County Sheriff's Office","Sheriff","The San Joaquin County Sheriff's Office accesses ALPR data. The agency contracts with Vigilant Solutions.","County","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/san_joaquin_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1040","San Jose","Santa Clara County","CA","San Jose Police Department","Police","The San Jose Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/san_jose_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1041","San Leandro","Alameda County","CA","San Leandro Police Department","Police","The San Leandro Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/san_leandro_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1042","Oceano","San Luis Obispo County","CA","San Luis Obispo County Sheriff's Office","Sheriff","The San Luis Obispo County Sheriff's Office operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","County","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/san_luis_obispo_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1043","Redwood City","San Mateo County","CA","San Mateo County Sheriff's Office","Sheriff","The San Mateo County Sheriff's Office operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","County","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/san_mateo_county_sheriff.html","","California State Auditor","","2/13/2020","https://www.muckrock.com/foi/san-mateo-county-3064/2020-vigilant-data-sharing-information-automated-license-plate-reader-alpr-sheriffs-office-86970/","","MuckRock","","","","","","",""
"AOS1044","San Mateo","San Mateo County","CA","San Mateo Police Department","Police","The San Mateo Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions and Neology/PIPS.","Municipal","Automated License Plate Readers","Vigilant Solutions, Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/san_mateo_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1045","San Pablo","Contra Costa County","CA","San Pablo Police Department","Police","The San Pablo Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/san_pablo_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1046","San Rafael","Marin County","CA","San Rafael Police Department","Police","The San Rafael Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/san_rafael_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1047","San Ramon","Contra Costa County","CA","San Ramon Police Department","Police","The San Ramon Police Department has installed 40 automated license plate readers through the city, including ""on every route of ingress/egress as well as areas surrounding commercial areas."" SRPD used three types of ALPR products: Vigilant Solutions, Avigilon, and Flock Safety. ","Municipal","Automated License Plate Readers","Vigilant Solutions, Flock Safety, Avigilon","https://www.auditor.ca.gov/reports/2019-118/surveys/san_ramon_police_department.html","","California State Auditor","","2/13/2020","https://assets.documentcloud.org/documents/6928552/Camera-Presentation.pdf","","San Ramon Police Department","","2020","","","","",""
"AOS1048","Sand City","Monterey County","CA","Sand City Police Department","Police","The Lake County Sheriff's Office accesses ALPR data.","Municipal","Automated License Plate Readers","","https://www.auditor.ca.gov/reports/2019-118/surveys/sand_city_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1050","Santa Barbara","Santa Barbara County","CA","Santa Barbara Police Department","Police","The Santa Barbara Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Tannery Creek Systems.","Municipal","Automated License Plate Readers","Tannery Creek Systems","https://www.auditor.ca.gov/reports/2019-118/surveys/santa_barbara_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1051","San Jose","Santa Clara County","CA","Santa Clara County Sheriff's Office","Sheriff","The Santa Clara County Sheriff's Office operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","County","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/santa_clara_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1052","Santa Clara","Santa Clara County","CA","Santa Clara Police Department","Police","The Santa Clara Police Department operates automated license plate readers and accesses external ALPR data.","Municipal","Automated License Plate Readers","","https://www.auditor.ca.gov/reports/2019-118/surveys/santa_clara_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1053","Santa Monica","Los Angeles County","CA","Santa Monica Police Department","Police","The Santa Monica Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/santa_monica_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1056","Redding","Shasta County","CA","Shasta County Sheriff's Office","Sheriff","The Shasta County Sheriff's Office operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions and Neology/PIPS.","County","Automated License Plate Readers","Vigilant Solutions, Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/shasta_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1057","Signal Hill","Los Angeles County","CA","Signal Hill Police Department","Police","The Signal Hill Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions and Neology/PIPS.","Municipal","Automated License Plate Readers","Vigilant Solutions, Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/signal_hill_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1059","Fairfield","Solano County","CA","Solano County Sheriff's Office","Sheriff","The Solano County Sheriff's Office operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions and Neology/PIPS.","County","Automated License Plate Readers","Vigilant Solutions, Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/solano_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1060","Santa Rosa","Sonoma County","CA","Sonoma County Sheriff's Office","Sheriff","The Napa Police Department accesses ALPR data.","County","Automated License Plate Readers","","https://www.auditor.ca.gov/reports/2019-118/surveys/sonoma_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1061","South Gate","Los Angeles County","CA","South Gate Police Department","Police","The South Gate Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/south_gate_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1062","South Pasadena","Los Angeles County","CA","South Pasadena Police Department","Police","The South Pasadena Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/south_pasadena_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1063","South San Francisco","San Mateo County","CA","South San Francisco Police Department","Police","The South San Francisco Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/south_san_francisco_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1064","Modesto","Stanislaus County","CA","Stanislaus County Sheriff's Office","Sheriff","The Stanislaus County Sheriff's Office operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions and Rekor.","County","Automated License Plate Readers","Vigilant Solutions, Rekor","https://www.auditor.ca.gov/reports/2019-118/surveys/stanislaus_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1066","Sunnyvale","Santa Clara County","CA","Sunnyvale Department of Public Safety","Police","The Sunnyvale Department of Public Safety operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/sunnyvale_department_of_public_safety.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1067","Yuba City","Sutter County","CA","Sutter County Sheriff's Office","Sheriff","The Sutter County Sheriff's Office operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","County","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/sutter_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1068","Red Bluff","Tehama County","CA","Tehama County Sheriff's Office","Sheriff","The Tehama County Sheriff's Office accesses ALPR data. The agency contracts with Vigilant Solutions.","County","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/tehama_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1072","Tulare","Tulare County","CA","Tulare Police Department","Police","The Tulare Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/tulare_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1074","Union City","Alameda County","CA","Union City Police Department","Police","The Union City Police Department accesses ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/union_city_police_department.html","","California State Auditor","","2/13/2020","https://www.muckrock.com/foi/union-city-3483/alpr-detectionshitssharing-80461/","","MuckRock","","","","","","",""
"AOS1075","Upland","San Bernardino County","CA","Upland Police Department","Police","The Upland Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions and ELSAG.","Municipal","Automated License Plate Readers","Vigilant Solutions, ELSAG","https://www.auditor.ca.gov/reports/2019-118/surveys/upland_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1076","Vacaville","Solano County","CA","Vacaville Police Department","Police","The Vacaville Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/vacaville_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1077","Vallejo","Solano County","CA","Vallejo Police Department","Police","The Vallejo Police Department announced a partnership with Flock Safety to operate automated license plate readers in September 2020. Previously, VPD had installed PIPS/Neology ALPRs.","Municipal","Automated License Plate Readers","Neology/PIPS","https://myemail.constantcontact.com/Vallejo-PD-Introduces-New-Crime-Fighting-Technology-to-the-City-of-Vallejo.html?soid=1107787334147&aid=zsi60aXrOD8","","Vallejo Police Department","","9/29/2020","https://www.cehrp.org/vallejo-cites-ferry-terrorism-to-get-30000-grant-for-license-plate-readers/","","Center for Human Rights and Privacy","","2020","https://www.auditor.ca.gov/reports/2019-118/surveys/vallejo_police_department.html","","California State Auditor","","2/13/2020"
"AOS1078","Ventura","Ventura County","CA","Ventura County Sheriff's Office","Sheriff","The Ventura County Sheriff's Office operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","County","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/ventura_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1079","Ventura","Ventura County","CA","Ventura Police Department","Police","The Ventura Police Department accesses ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/ventura_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1080","Vernon","Los Angeles County","CA","Vernon Police Department","Police","The Vernon Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/vernon_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1081","Visalia","Tulare County","CA","Visalia Police Department","Police","The Visalia Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Neology/PIPS.","Municipal","Automated License Plate Readers","Neology/PIPS","https://www.auditor.ca.gov/reports/2019-118/surveys/visalia_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1082","Walnut Creek","Contra Costa County","CA","Walnut Creek Police Department","Police","The Walnut Creek Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/walnut_creek_police_department.html","","California State Auditor","","2/13/2020","https://www.muckrock.com/foi/walnut-creek-3493/alpr-detectionshitssharing-80454/","","MuckRock","","","","","","",""
"AOS1083","West Covina","Los Angeles County","CA","West Covina Police Department","Police","The West Covina Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/west_covina_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1084","West Sacramento","Yolo County","CA","West Sacramento Police Department","Police","The West Sacramento Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/west_sacramento_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1085","Westminster","Orange County","CA","Westminster Police Department","Police","The Westminster Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/westminster_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1086","Westmorland","Imperial County","CA","Westmorland Police Department","Police","The Westmorland Police Department accesses ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/westmorland_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1087","Whittier","Los Angeles County","CA","Whittier Police Department","Police","The Whittier Police Department accesses ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/whittier_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1088","Woodland","Yolo County","CA","Woodland Police Department","Police","The Woodland Police Department operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","Municipal","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/woodland_police_department.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1089","Woodland","Yolo County","CA","Yolo County Sheriff's Office","Sheriff","The Yolo County Sheriff's Office operates automated license plate readers and accesses external ALPR data. The agency contracts with Vigilant Solutions.","County","Automated License Plate Readers","Vigilant Solutions","https://www.auditor.ca.gov/reports/2019-118/surveys/yolo_county_sheriff.html","","California State Auditor","","2/13/2020","","","","","","","","","",""
"AOS1090","Redwood","San Mateo County","CA","San Mateo County Sheriff's Office","Sheriff","The San Mateo County Sheriff’s Office has run about 2,000 searches with Clearview AI face recognition technology, according to records obtained by Buzzfeed. ","County","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","","","","","","","","","",""
"AOS1091","New Caney","Montgomery County","TX","Montgomery County Constables Precinct 4","Constables","The Montgomery County Constables Precinct 4 purchased Clearview AI face recognition licenses in 2019. ","County","Face Recognition","Clearview AI","https://montgomerycountytx.opengov.com/data/#/9803/query=FEE452527E14CEE8CE7D2D89E25C36C4&embed=n","","Montgomery County","","2/11/2020","","","","","","","","","",""
"AOS1092","DeLand","Volusia County","FL","Volusia County Sheriff's Office","Sheriff","In January 2020, the Volusia County Sheriff's Office completed a free 90-day trial of Clearview AI face recognition technology then paid $10,000 for six one-year licenses to continue using the system.","County","Face Recognition","Clearview AI","https://www.news-journalonline.com/news/20200203/volusia-sheriffrsquos-office-adds-facial-recognition-technology","","Daytona Beach News-Journal","","02/03/2020","https://www.tampabay.com/florida-politics/buzz/2020/02/11/florida-cops-use-this-facial-recognition-tech-that-could-be-pulling-your-pics/","","Tampa Bay Times","","2/11/2020","","","","",""
"AOS1093","Gainesville","Alachua County","FL","Gainesville Police Department","Police","The Gainesville Police Department spent $10,000 on Clearview AI face recognition technology for seven users in 2019. ","Municipal","Face Recognition","Clearview AI","http://spending.cityofgainesville.org/#!/year/2019/explore/0/vendor/Clearview+Ai+Inc/0/fund","","City of Gainesville","","2019","https://www.muckrock.com/foi/gainesville-10471/gainesville-florida-83312/","","Muckrock","","12/11/2019","https://www.muckrock.com/news/archives/2020/jan/18/clearview-ai-facial-recogniton-records/","","Muckrock","","01/18/2020"
"AOS1094","Antioch","Contra Costa County","CA","Antioch Police Department","Police","The Antioch Police Department spent $3,000 on Clearview AI face recognition technology in late 2019. ","Municipal","Face Recognition","Clearview AI","https://www.antiochca.gov/fc/government/agendas/CityCouncil/2020/agendas/011420/011420.pdf","","City of Antioch","","1/14/2020","","","","","","","","","",""
"AOS1095","Green Bay","Brown County","WI","Green Bay Police Department","Police","In November 2019, the Green Bay Police Department spent $3,000 on Clearview AI face recognition technology. ","Municipal","Face Recognition","Clearview AI","https://greenbaywi.gov/ArchiveCenter/ViewFile/Item/237","","City of Greenbay","","12/06/2019","","","","","","","","","",""
"AOS1096","Davie","Broward County","FL","Davie Police Department","Police","The Davie Police Department uses Clearview AI face recognition software as of 2020. ","Municipal","Face Recognition","Clearview AI","https://www.davie-fl.gov/DocumentCenter/View/10517/NTSS-2020-34-Facial-Recognition-Software?bidId=","","Town of Davie","","12/23/2019","https://www.davie-fl.gov/bids.aspx?bidID=504","","Town of Davie","","12/23/2019","https://www.tampabay.com/florida-politics/buzz/2020/02/11/florida-cops-use-this-facial-recognition-tech-that-could-be-pulling-your-pics/","","Tampa Bay Times","","2/11/2020"
"AOS1097","Miami","Miami-Dade County","FL","Miami Police Department","Police","According to documents obtained by Buzzfeed News, the Miami Police Department has run over 3,000 face recognition searches using Clearview AI. ","Municipal","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","","","","","","","","","",""
"AOS1098","Atlanta","DeKalb County, Fulton County","GA","Atlanta Police Department","Police","In 2019, the Atlanta Police Department paid $6,000 for three one-year licenses of face recognition technology from Clearview AI. ","Municipal","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","https://www.muckrock.com/news/archives/2020/jan/18/clearview-ai-facial-recogniton-records/","","Muckrock","","01/18/2020","https://www.muckrock.com/foi/atlanta-325/facial-recognition-atlanta-ga-76491/#file-824465","","MuckRock","",""
"AOS1099","Wyomissing","Berks County","PA","Wyomissing Police Department","Police","The Wyomissing Police Department paid $1,000 for a Clearview AI license. ","Municipal","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","","","","","","","","","",""
"AOS1100","Chicago","Cook County","IL","Chicago Police Department","Police","The Chicago Police Department has used DataWorks face recognition technology since 2013. ","Municipal","Face Recognition","DataWorks Plus","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","https://chicago.suntimes.com/crime/2020/1/29/21080729/clearview-ai-facial-recognition-chicago-police-cpd","","Chicago Sun Times","","01/29/2020","","","","",""
"AOS1101","Senoia","Coweta County","GA","Senoia Police Department","Police","The Senoia Police Department converted to a paid license for Clearview AI after trying the technology via a free trial. ","Municipal","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","","","","","","","","","",""
"AOS1102","Indianapolis","Marion County","IN","Indiana State Police","Police","According to a list of Clearview AI clients obtained by Buzzfeed News, the Indiana State Police has run more than 5,700 scans with the face recognition technology. It was Clearview AI's first paying customer. ","State","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","","","","","","","","","",""
"AOS1103","Albany","Albany County","NY","New York State Police","Police","The New York State Police paid $15,000 for Clearview AI face recognition licenses.","State","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","https://www.syracuse.com/crime/2020/02/new-york-state-police-uses-controversial-facial-recognition-technology-that-just-had-its-data-breached.html","","","","","","","","",""
"AOS1104","Austin","Travis County","TX","Texas Department of Public Safety","State Police","In 2019, the Texas Department of Public Safety spent $24,000 for a 12 month subscription with Clearview AI face recognition technology.  ","State","Face Recognition","Clearview AI","https://www.muckrock.com/foi/austin-139/facial-recognition-systems-clearview-ai-84829/","","Muckrock","","1/23/2020","","","","","","","","","",""
"AOS1105","San Jose","Santa Clara County","CA","Santa Clara County Sheriff's Office","Sheriff","The Santa Clara County Sheriff's Office maintains a voluntary registry of private and personal surveillance cameras through Motorola Solutions.","County","Camera Registry","Motorola Solutions","https://analytics-api.commandcentral.com/camera_registration#/agencies","","Command Central","","","","","","","","","","","",""
"AOS1106","Chamblee","DeKalb County","GA","Chamblee Police Department","Police","The Chamblee Police Department maintains a voluntary registry of private and personal surveillance cameras through Motorola Solutions.","Municipal","Camera Registry","Motorola Solutions","https://analytics-api.commandcentral.com/camera_registration#/agencies","","Command Central","","","","","","","","","","","",""
"AOS1107","Chicago","Cook County","IL","Chicago Police Department","Police","The Chicago Police Department maintains a voluntary registry of private and personal surveillance cameras through Motorola Solutions.","Municipal","Camera Registry","Motorola Solutions","https://analytics-api.commandcentral.com/camera_registration#/agencies","","Command Central","","","https://www.chicago.gov/city/en/depts/oem/provdrs/tech/svcs/link_your_cameras.html","","City of Chicago","","","","","","",""
"AOS1108","Riverdale","Prince George's County","MD","Riverdale Park Police Department","Police","The Riverdale Park Police Department maintains a voluntary registry of private and personal surveillance cameras through Motorola Solutions.","Municipal","Camera Registry","Motorola Solutions","https://analytics-api.commandcentral.com/camera_registration#/agencies","","Command Central","","","","","","","","","","","",""
"AOS1109","Los Altos","Santa Clara County","CA","Los Altos Police Department","Police","The Los Altos Police Department maintains a voluntary registry of private and personal surveillance cameras through Motorola Solutions.","Municipal","Camera Registry","Motorola Solutions","https://analytics-api.commandcentral.com/camera_registration#/agencies","","Command Central","","","","","","","","","","","",""
"AOS1110","Maryland Heights","St. Louis County","MO","Maryland Heights Police Department","Police","The Maryland Heights Police Department maintains a voluntary registry of private and personal surveillance cameras through Motorola Solutions.","Municipal","Camera Registry","Motorola Solutions","https://analytics-api.commandcentral.com/camera_registration#/agencies","","Command Central","","","","","","","","","","","",""
"AOS1111","Bladensburg","Prince George's County","MD","Bladensburg Police Department","Police","The Bladensburg Police Department maintains a voluntary registry of private and personal surveillance cameras through Motorola Solutions.","Municipal","Camera Registry","Motorola Solutions","https://analytics-api.commandcentral.com/camera_registration#/agencies","","Command Central","","","","","","","","","","","",""
